county,state,annual_v_cumulative,total_pop_change,natural_change,births,deaths,total,international,domestic
Robeson County,North Carolina,Annual ,919,171,"1,847","1,676",743,503,240
Rockingham County,North Carolina,Annual ,879,-478,981,"1,459","1,362",61,"1,301"
Rowan County,North Carolina,Annual ,"1,501",-251,"1,622","1,873","1,751",503,"1,248"
Rutherford County,North Carolina,Annual ,218,-384,622,"1,006",602,2,600
Sampson County,North Carolina,Annual ,662,18,832,814,643,328,315
Scotland County,North Carolina,Annual ,238,-92,402,494,330,126,204
Stanly County,North Carolina,Annual ,"1,508",-113,705,818,"1,625",170,"1,455"
Stokes County,North Carolina,Annual ,371,-234,424,658,609,-3,612
Surry County,North Carolina,Annual ,90,-350,743,"1,093",440,98,342
Swain County,North Carolina,Annual ,22,-126,153,279,149,23,126
Transylvania County,North Carolina,Annual ,169,-256,232,488,426,149,277
Tyrrell County,North Carolina,Annual ,-3,-10,44,54,8,15,-7
Union County,North Carolina,Annual ,"5,876",751,"2,559","1,808","5,148","1,479","3,669"
Vance County,North Carolina,Annual ,8,-139,493,632,145,185,-40
Wake County,North Carolina,Annual ,"29,050","6,394","13,202","6,808","22,574","12,704","9,870"
Warren County,North Carolina,Annual ,319,-96,186,282,416,45,371
Washington County,North Carolina,Annual ,-85,-74,104,178,-10,-1,-9
Watauga County,North Carolina,Annual ,-423,-133,296,429,-293,216,-509
Wayne County,North Carolina,Annual ,768,172,"1,603","1,431",592,541,51
Wilkes County,North Carolina,Annual ,169,-258,680,938,429,114,315
Wilson County,North Carolina,Annual ,352,-128,902,"1,030",480,183,297
Yadkin County,North Carolina,Annual ,197,-141,406,547,338,72,266
Yancey County,North Carolina,Annual ,53,-119,177,296,169,17,152
Adams County,North Dakota,Annual ,-2,3,21,18,-5,0,-5
Barnes County,North Dakota,Annual ,31,-26,85,111,57,84,-27
Benson County,North Dakota,Annual ,-22,9,101,92,-28,27,-55
Billings County,North Dakota,Annual ,27,14,18,4,14,0,14
Bottineau County,North Dakota,Annual ,56,2,71,69,54,23,31
Bowman County,North Dakota,Annual ,16,5,39,34,12,3,9
Burke County,North Dakota,Annual ,7,5,23,18,2,9,-7
Burleigh County,North Dakota,Annual ,"1,623",331,"1,155",824,"1,284",713,571
Cass County,North Dakota,Annual ,"2,788","1,151","2,359","1,208","1,639","2,190",-551
Cavalier County,North Dakota,Annual ,-38,-23,28,51,-16,4,-20
Dickey County,North Dakota,Annual ,-10,-14,52,66,4,27,-23
Divide County,North Dakota,Annual ,-24,-2,20,22,-21,3,-24
Dunn County,North Dakota,Annual ,-20,17,64,47,-35,46,-81
Eddy County,North Dakota,Annual ,31,-6,36,42,38,0,38
Emmons County,North Dakota,Annual ,-32,-16,40,56,-15,0,-15
Foster County,North Dakota,Annual ,-11,-2,36,38,-10,29,-39
Golden Valley County,North Dakota,Annual ,35,17,34,17,20,0,20
Grand Forks County,North Dakota,Annual ,573,267,834,567,310,685,-375
Grant County,North Dakota,Annual ,-2,-11,27,38,9,23,-14
Griggs County,North Dakota,Annual ,-23,-21,17,38,-2,0,-2
Hettinger County,North Dakota,Annual ,1,-3,22,25,4,0,4
Kidder County,North Dakota,Annual ,11,0,21,21,11,0,11
LaMoure County,North Dakota,Annual ,-17,6,46,40,-21,5,-26
Logan County,North Dakota,Annual ,-6,10,34,24,-15,-1,-14
McHenry County,North Dakota,Annual ,-17,-5,69,74,-10,4,-14
McIntosh County,North Dakota,Annual ,-27,-27,25,52,0,9,-9
McKenzie County,North Dakota,Annual ,500,123,217,94,381,47,334
McLean County,North Dakota,Annual ,9,-16,94,110,24,13,11
Mercer County,North Dakota,Annual ,26,-11,87,98,38,31,7
Morton County,North Dakota,Annual ,147,107,397,290,41,72,-31
Mountrail County,North Dakota,Annual ,47,44,147,103,2,61,-59
Nelson County,North Dakota,Annual ,-3,-23,27,50,22,30,-8
Oliver County,North Dakota,Annual ,9,12,16,4,-1,0,-1
Pembina County,North Dakota,Annual ,-102,-34,62,96,-68,24,-92
Pierce County,North Dakota,Annual ,-57,-42,29,71,-16,-1,-15
Ramsey County,North Dakota,Annual ,-7,-43,139,182,39,40,-1
Ransom County,North Dakota,Annual ,-16,-34,47,81,18,16,2
Renville County,North Dakota,Annual ,51,8,30,22,43,54,-11
Richland County,North Dakota,Annual ,54,3,169,166,49,-2,51
Rolette County,North Dakota,Annual ,-74,-27,164,191,-47,15,-62
Sargent County,North Dakota,Annual ,-84,-8,36,44,-76,0,-76
Sheridan County,North Dakota,Annual ,-9,8,12,4,-17,6,-23
Sioux County,North Dakota,Annual ,54,-11,48,59,65,1,64
Slope County,North Dakota,Annual ,-19,5,7,2,-22,0,-22
Stark County,North Dakota,Annual ,650,227,494,267,425,110,315
Steele County,North Dakota,Annual ,1,2,10,8,-1,0,-1
Stutsman County,North Dakota,Annual ,24,-10,205,215,35,102,-67
Towner County,North Dakota,Annual ,15,1,25,24,16,16,0
Traill County,North Dakota,Annual ,32,-13,84,97,46,31,15
Walsh County,North Dakota,Annual ,-79,-53,121,174,-26,28,-54
Ward County,North Dakota,Annual ,8,450,957,507,-432,293,-725
Wells County,North Dakota,Annual ,-63,-37,24,61,-28,5,-33
Williams County,North Dakota,Annual ,"1,459",416,667,251,"1,045",251,794
Adams County,Ohio,Annual ,129,-63,324,387,193,77,116
Allen County,Ohio,Annual ,15,7,"1,200","1,193",8,165,-157
Ashland County,Ohio,Annual ,237,-65,584,649,308,14,294
Ashtabula County,Ohio,Annual ,-56,-344,955,"1,299",291,97,194
Athens County,Ohio,Annual ,249,-154,437,591,399,557,-158
Auglaize County,Ohio,Annual ,-96,-40,500,540,-57,10,-67
Belmont County,Ohio,Annual ,-288,-458,391,849,173,30,143
Brown County,Ohio,Annual ,458,-89,516,605,555,39,516
Butler County,Ohio,Annual ,"3,949",724,"4,295","3,571","3,215","3,978",-763
Carroll County,Ohio,Annual ,-294,-175,230,405,-119,7,-126
Champaign County,Ohio,Annual ,50,-5,452,457,55,28,27
Clark County,Ohio,Annual ,250,-318,"1,524","1,842",574,420,154
Clermont County,Ohio,Annual ,"1,921",36,"2,166","2,130","1,886",431,"1,455"
Clinton County,Ohio,Annual ,47,-70,456,526,115,173,-58
Columbiana County,Ohio,Annual ,-314,-417,934,"1,351",102,10,92
Coshocton County,Ohio,Annual ,137,-13,417,430,152,25,127
Crawford County,Ohio,Annual ,35,-175,426,601,213,105,108
Cuyahoga County,Ohio,Annual ,"1,915",-205,"12,877","13,082","2,135","8,876","-6,741"
Darke County,Ohio,Annual ,30,-51,598,649,84,38,46
Defiance County,Ohio,Annual ,207,-5,411,416,215,204,11
Delaware County,Ohio,Annual ,"5,234",681,"2,136","1,455","4,553","1,752","2,801"
Erie County,Ohio,Annual ,-284,-362,624,986,84,111,-27
Fairfield County,Ohio,Annual ,"2,132",79,"1,680","1,601","2,071",492,"1,579"
Fayette County,Ohio,Annual ,-49,-81,339,420,32,6,26
Franklin County,Ohio,Annual ,"17,400","7,157","17,244","10,087","10,283","20,257","-9,974"
Fulton County,Ohio,Annual ,77,-25,435,460,104,70,34
Gallia County,Ohio,Annual ,-78,-127,302,429,49,12,37
Geauga County,Ohio,Annual ,-27,-124,862,986,106,61,45
Greene County,Ohio,Annual ,"2,012",23,"1,640","1,617","1,999",726,"1,273"
Guernsey County,Ohio,Annual ,93,-169,408,577,264,13,251
Hamilton County,Ohio,Annual ,"5,800","2,311","10,267","7,956","3,496","7,120","-3,624"
Hancock County,Ohio,Annual ,169,8,823,815,159,430,-271
Hardin County,Ohio,Annual ,-4,-30,352,382,26,61,-35
Harrison County,Ohio,Annual ,-141,-84,127,211,-57,5,-62
Henry County,Ohio,Annual ,-9,-30,293,323,21,59,-38
Highland County,Ohio,Annual ,197,-4,540,544,204,17,187
Hocking County,Ohio,Annual ,-138,-123,271,394,-14,1,-15
Holmes County,Ohio,Annual ,229,376,736,360,-148,28,-176
Huron County,Ohio,Annual ,-90,-90,634,724,1,149,-148
Jackson County,Ohio,Annual ,54,-71,390,461,126,41,85
Jefferson County,Ohio,Annual ,-216,-501,466,967,291,80,211
Knox County,Ohio,Annual ,504,-7,702,709,513,148,365
Lake County,Ohio,Annual ,396,-705,"2,050","2,755","1,101",659,442
Lawrence County,Ohio,Annual ,-309,-443,475,918,133,-3,136
Licking County,Ohio,Annual ,"1,358",-56,"1,845","1,901","1,425",529,896
Logan County,Ohio,Annual ,40,-31,505,536,69,68,1
Lorain County,Ohio,Annual ,"2,867",-228,"3,160","3,388","3,098",771,"2,327"
Lucas County,Ohio,Annual ,51,275,"4,884","4,609",-218,"1,215","-1,433"
Madison County,Ohio,Annual ,863,2,451,449,863,57,806
Mahoning County,Ohio,Annual ,-202,-712,"2,416","3,128",517,650,-133
Marion County,Ohio,Annual ,148,-42,733,775,190,16,174
Medina County,Ohio,Annual ,510,-96,"1,577","1,673",606,361,245
Meigs County,Ohio,Annual ,-281,-222,184,406,-60,42,-102
Mercer County,Ohio,Annual ,200,225,662,437,-28,87,-115
Miami County,Ohio,Annual ,"1,052",-116,"1,086","1,202","1,176",243,933
Monroe County,Ohio,Annual ,-114,-87,96,183,-28,8,-36
Montgomery County,Ohio,Annual ,"2,130",-571,"5,879","6,450","2,693","2,699",-6
Morgan County,Ohio,Annual ,-94,-106,117,223,14,0,14
Morrow County,Ohio,Annual ,344,2,358,356,344,8,336
Muskingum County,Ohio,Annual ,270,-74,965,"1,039",342,33,309
Noble County,Ohio,Annual ,-76,-22,124,146,-54,0,-54
Ottawa County,Ohio,Annual ,-127,-305,275,580,179,30,149
Paulding County,Ohio,Annual ,27,-29,226,255,56,45,11
Perry County,Ohio,Annual ,105,-26,371,397,133,12,121
Pickaway County,Ohio,Annual ,"1,094",-40,619,659,"1,141",9,"1,132"
Pike County,Ohio,Annual ,82,-97,300,397,180,7,173
Portage County,Ohio,Annual ,764,-304,"1,348","1,652","1,066",694,372
Preble County,Ohio,Annual ,238,-64,413,477,306,12,294
Putnam County,Ohio,Annual ,-48,86,426,340,-134,72,-206
Richland County,Ohio,Annual ,-150,-302,"1,298","1,600",156,147,9
Ross County,Ohio,Annual ,-294,-332,712,"1,044",38,4,34
Sandusky County,Ohio,Annual ,81,-103,561,664,186,184,2
Scioto County,Ohio,Annual ,-378,-485,770,"1,255",106,109,-3
Seneca County,Ohio,Annual ,102,-19,593,612,123,134,-11
Shelby County,Ohio,Annual ,167,54,575,521,116,70,46
Stark County,Ohio,Annual ,"1,039",-483,"3,899","4,382","1,534",556,978
Summit County,Ohio,Annual ,"1,351",-983,"5,204","6,187","2,333","2,345",-12
Trumbull County,Ohio,Annual ,-54,-777,"1,997","2,774",734,57,677
Tuscarawas County,Ohio,Annual ,31,-131,"1,101","1,232",163,252,-89
Union County,Ohio,Annual ,"1,956",221,731,510,"1,742",278,"1,464"
Van Wert County,Ohio,Annual ,162,-18,343,361,182,53,129
Vinton County,Ohio,Annual ,47,-71,156,227,120,0,120
Warren County,Ohio,Annual ,"2,480",327,"2,424","2,097","2,156","2,142",14
Washington County,Ohio,Annual ,-181,-405,485,890,227,65,162
Wayne County,Ohio,Annual ,-3,50,"1,388","1,338",-57,301,-358
Williams County,Ohio,Annual ,-12,13,435,422,-25,34,-59
Wood County,Ohio,Annual ,264,-5,"1,202","1,207",266,385,-119
Wyandot County,Ohio,Annual ,-72,-117,192,309,46,15,31
Adair County,Oklahoma,Annual ,180,-20,303,323,202,16,186
Alfalfa County,Oklahoma,Annual ,51,-4,46,50,55,8,47
Atoka County,Oklahoma,Annual ,76,-7,135,142,83,36,47
Beaver County,Oklahoma,Annual ,-27,24,66,42,-52,43,-95
Beckham County,Oklahoma,Annual ,116,12,267,255,101,14,87
Blaine County,Oklahoma,Annual ,26,-50,102,152,77,67,10
Bryan County,Oklahoma,Annual ,"1,034",-143,563,706,"1,178",78,"1,100"
Caddo County,Oklahoma,Annual ,84,-88,297,385,172,71,101
Canadian County,Oklahoma,Annual ,"5,576",849,"2,044","1,195","4,728",295,"4,433"
Carter County,Oklahoma,Annual ,281,9,596,587,272,92,180
Cherokee County,Oklahoma,Annual ,556,-80,524,604,635,67,568
Choctaw County,Oklahoma,Annual ,-150,-128,124,252,-19,10,-29
Cimarron County,Oklahoma,Annual ,-55,-12,18,30,-44,0,-44
Cleveland County,Oklahoma,Annual ,"2,039",401,"2,740","2,339","1,622","1,334",288
Coal County,Oklahoma,Annual ,130,-40,68,108,173,-1,174
Comanche County,Oklahoma,Annual ,-472,413,"1,510","1,097",-879,156,"-1,035"
Cotton County,Oklahoma,Annual ,33,-40,52,92,73,0,73
Craig County,Oklahoma,Annual ,30,-52,165,217,81,40,41
Creek County,Oklahoma,Annual ,599,-125,827,952,724,25,699
Custer County,Oklahoma,Annual ,-66,43,350,307,-109,54,-163
Delaware County,Oklahoma,Annual ,-4,-207,453,660,204,15,189
Dewey County,Oklahoma,Annual ,15,-36,41,77,51,1,50
Ellis County,Oklahoma,Annual ,-36,-44,30,74,8,18,-10
Garfield County,Oklahoma,Annual ,-48,94,837,743,-139,149,-288
Garvin County,Oklahoma,Annual ,231,-73,314,387,306,48,258
Grady County,Oklahoma,Annual ,860,-30,582,612,891,52,839
Grant County,Oklahoma,Annual ,35,-18,42,60,55,1,54
Greer County,Oklahoma,Annual ,-58,-19,63,82,-39,6,-45
Harmon County,Oklahoma,Annual ,-94,-28,30,58,-65,0,-65
Harper County,Oklahoma,Annual ,2,-2,30,32,5,29,-24
Haskell County,Oklahoma,Annual ,21,-53,159,212,74,12,62
Hughes County,Oklahoma,Annual ,-35,-54,131,185,19,-1,20
Jackson County,Oklahoma,Annual ,-144,37,318,281,-177,113,-290
Jefferson County,Oklahoma,Annual ,7,-53,64,117,60,5,55
Johnston County,Oklahoma,Annual ,94,-38,95,133,133,11,122
Kay County,Oklahoma,Annual ,-184,-37,537,574,-146,30,-176
Kingfisher County,Oklahoma,Annual ,205,-8,171,179,214,128,86
Kiowa County,Oklahoma,Annual ,-65,-74,81,155,10,5,5
Latimer County,Oklahoma,Annual ,-52,-66,90,156,15,2,13
Le Flore County,Oklahoma,Annual ,264,-6,715,721,269,69,200
Lincoln County,Oklahoma,Annual ,359,-94,358,452,455,5,450
Logan County,Oklahoma,Annual ,739,30,510,480,708,128,580
Love County,Oklahoma,Annual ,118,-50,121,171,167,14,153
McClain County,Oklahoma,Annual ,"1,374",19,483,464,"1,365",36,"1,329"
McCurtain County,Oklahoma,Annual ,-152,-122,382,504,-28,60,-88
McIntosh County,Oklahoma,Annual ,40,-155,200,355,195,15,180
Major County,Oklahoma,Annual ,-54,-20,83,103,-34,19,-53
Marshall County,Oklahoma,Annual ,173,-81,170,251,252,74,178
Mayes County,Oklahoma,Annual ,173,-85,457,542,257,11,246
Murray County,Oklahoma,Annual ,19,-81,146,227,99,-1,100
Muskogee County,Oklahoma,Annual ,96,-144,821,965,240,39,201
Noble County,Oklahoma,Annual ,31,-66,101,167,96,14,82
Nowata County,Oklahoma,Annual ,80,-49,117,166,130,7,123
Okfuskee County,Oklahoma,Annual ,67,-53,131,184,122,26,96
Oklahoma County,Oklahoma,Annual ,"5,394","3,111","10,735","7,624","2,286","3,972","-1,686"
Okmulgee County,Oklahoma,Annual ,144,-179,413,592,328,0,328
Osage County,Oklahoma,Annual ,487,-190,349,539,683,3,680
Ottawa County,Oklahoma,Annual ,88,-108,409,517,195,32,163
Pawnee County,Oklahoma,Annual ,219,-59,166,225,280,4,276
Payne County,Oklahoma,Annual ,380,59,748,689,311,744,-433
Pittsburg County,Oklahoma,Annual ,-77,-325,403,728,249,18,231
Pontotoc County,Oklahoma,Annual ,-196,-35,454,489,-159,40,-199
Pottawatomie County,Oklahoma,Annual ,582,-227,799,"1,026",811,58,753
Pushmataha County,Oklahoma,Annual ,-56,-131,89,220,74,11,63
Roger Mills County,Oklahoma,Annual ,-27,-3,37,40,-24,7,-31
Rogers County,Oklahoma,Annual ,"1,103",26,"1,080","1,054","1,078",105,973
Seminole County,Oklahoma,Annual ,-234,-117,276,393,-116,21,-137
Sequoyah County,Oklahoma,Annual ,307,-2,604,606,310,9,301
Stephens County,Oklahoma,Annual ,9,-172,455,627,182,74,108
Texas County,Oklahoma,Annual ,65,200,364,164,-138,256,-394
Tillman County,Oklahoma,Annual ,-131,-68,51,119,-62,0,-62
Tulsa County,Oklahoma,Annual ,"7,103","2,029","8,596","6,567","5,058","5,046",12
Wagoner County,Oklahoma,Annual ,"1,882",71,923,852,"1,811",241,"1,570"
Washington County,Oklahoma,Annual ,288,-61,582,643,348,117,231
Washita County,Oklahoma,Annual ,123,-22,118,140,148,11,137
Woods County,Oklahoma,Annual ,22,-8,91,99,29,3,26
Woodward County,Oklahoma,Annual ,-82,51,240,189,-133,41,-174
Baker County,Oregon,Annual ,-154,-131,144,275,-22,9,-31
Benton County,Oregon,Annual ,333,11,648,637,318,"1,326","-1,008"
Clackamas County,Oregon,Annual ,"1,461",-190,"3,616","3,806","1,671","1,400",271
Clatsop County,Oregon,Annual ,-46,-169,325,494,124,65,59
Columbia County,Oregon,Annual ,145,-125,438,563,275,62,213
Coos County,Oregon,Annual ,-231,-622,476,"1,098",393,182,211
Crook County,Oregon,Annual ,376,-84,246,330,462,-1,463
Curry County,Oregon,Annual ,-499,-330,162,492,-165,-11,-154
Deschutes County,Oregon,Annual ,"2,678",14,"1,804","1,790","2,659",594,"2,065"
Douglas County,Oregon,Annual ,-180,-887,911,"1,798",715,71,644
Gilliam County,Oregon,Annual ,-64,-25,15,40,-38,0,-38
Grant County,Oregon,Annual ,-123,-37,65,102,-83,11,-94
Harney County,Oregon,Annual ,-49,-21,70,91,-28,-2,-26
Hood River County,Oregon,Annual ,-47,37,215,178,-84,79,-163
Jackson County,Oregon,Annual ,-7,-641,"2,018","2,659",637,247,390
Jefferson County,Oregon,Annual ,56,-22,268,290,77,15,62
Josephine County,Oregon,Annual ,275,-625,772,"1,397",907,123,784
Klamath County,Oregon,Annual ,91,-237,750,987,328,86,242
Lake County,Oregon,Annual ,-113,-64,84,148,-49,43,-92
Lane County,Oregon,Annual ,245,"-1,322","3,009","4,331","1,568","1,084",484
Lincoln County,Oregon,Annual ,-95,-435,352,787,343,170,173
Linn County,Oregon,Annual ,965,-122,"1,388","1,510","1,087",163,924
Malheur County,Oregon,Annual ,53,36,409,373,16,124,-108
Marion County,Oregon,Annual ,"2,993",494,"3,861","3,367","2,492","2,821",-329
Morrow County,Oregon,Annual ,57,-5,125,130,61,88,-27
Multnomah County,Oregon,Annual ,"1,626",659,"7,250","6,591",951,"5,660","-4,709"
Polk County,Oregon,Annual ,259,-38,882,920,293,271,22
Sherman County,Oregon,Annual ,48,-3,20,23,52,0,52
Tillamook County,Oregon,Annual ,-159,-203,210,413,45,16,29
Umatilla County,Oregon,Annual ,619,-69,729,798,692,443,249
Union County,Oregon,Annual ,20,-118,261,379,138,44,94
Wallowa County,Oregon,Annual ,-121,-86,54,140,-35,0,-35
Wasco County,Oregon,Annual ,105,-131,276,407,236,59,177
Washington County,Oregon,Annual ,"6,441","1,872","5,920","4,048","4,551","7,640","-3,089"
Wheeler County,Oregon,Annual ,20,-11,7,18,31,4,27
Yamhill County,Oregon,Annual ,"1,740",-101,"1,008","1,109","1,810",704,"1,106"
Adams County,Pennsylvania,Annual ,767,-216,932,"1,148",977,433,544
Allegheny County,Pennsylvania,Annual ,"1,676","-1,693","11,751","13,444","3,356","8,548","-5,192"
Armstrong County,Pennsylvania,Annual ,-415,-373,517,890,-41,29,-70
Beaver County,Pennsylvania,Annual ,-16,-779,"1,497","2,276",769,185,584
Bedford County,Pennsylvania,Annual ,201,-75,470,545,280,104,176
Berks County,Pennsylvania,Annual ,"3,833",395,"4,528","4,133","3,443","3,558",-115
Blair County,Pennsylvania,Annual ,-225,-542,"1,170","1,712",320,221,99
Bradford County,Pennsylvania,Annual ,-1,-110,611,721,109,189,-80
Bucks County,Pennsylvania,Annual ,"2,506",-634,"5,654","6,288","3,176","3,693",-517
Butler County,Pennsylvania,Annual ,676,-491,"1,685","2,176","1,156",278,878
Cambria County,Pennsylvania,Annual ,-605,-755,"1,183","1,938",156,111,45
Cameron County,Pennsylvania,Annual ,-34,-36,34,70,1,1,0
Carbon County,Pennsylvania,Annual ,316,-356,530,886,679,107,572
Centre County,Pennsylvania,Annual ,718,-4,"1,096","1,100",709,"2,253","-1,544"
Chester County,Pennsylvania,Annual ,"5,435","1,362","5,585","4,223","4,089","4,285",-196
Clarion County,Pennsylvania,Annual ,-109,-157,349,506,50,56,-6
Clearfield County,Pennsylvania,Annual ,-249,-416,654,"1,070",168,72,96
Clinton County,Pennsylvania,Annual ,13,-61,410,471,72,30,42
Columbia County,Pennsylvania,Annual ,230,-184,574,758,415,157,258
Crawford County,Pennsylvania,Annual ,37,-147,842,989,188,81,107
Cumberland County,Pennsylvania,Annual ,"3,963",147,"2,584","2,437","3,830","1,312","2,518"
Dauphin County,Pennsylvania,Annual ,"2,143",270,"3,111","2,841","1,866","2,452",-586
Delaware County,Pennsylvania,Annual ,"4,344","1,059","6,376","5,317","3,264","5,298","-2,034"
Elk County,Pennsylvania,Annual ,-97,-130,238,368,35,24,11
Erie County,Pennsylvania,Annual ,-453,-537,"2,631","3,168",87,"1,095","-1,008"
Fayette County,Pennsylvania,Annual ,-758,"-1,214",709,"1,923",459,271,188
Forest County,Pennsylvania,Annual ,115,-75,20,95,189,4,185
Franklin County,Pennsylvania,Annual ,"1,231",-46,"1,709","1,755","1,280",414,866
Fulton County,Pennsylvania,Annual ,-58,-48,144,192,-10,4,-14
Greene County,Pennsylvania,Annual ,-533,-334,147,481,-200,15,-215
Huntingdon County,Pennsylvania,Annual ,-186,-145,379,524,-40,42,-82
Indiana County,Pennsylvania,Annual ,-157,-316,680,996,161,263,-102
Jefferson County,Pennsylvania,Annual ,-258,-152,423,575,-105,32,-137
Juniata County,Pennsylvania,Annual ,27,-19,265,284,47,93,-46
Lackawanna County,Pennsylvania,Annual ,387,-692,"1,940","2,632","1,084","1,135",-51
Lancaster County,Pennsylvania,Annual ,"3,119","1,401","6,865","5,464","1,713","2,954","-1,241"
Lawrence County,Pennsylvania,Annual ,-320,-452,757,"1,209",138,82,56
Lebanon County,Pennsylvania,Annual ,773,-100,"1,538","1,638",873,517,356
Lehigh County,Pennsylvania,Annual ,"4,783",234,"3,802","3,568","4,540","5,104",-564
Luzerne County,Pennsylvania,Annual ,"2,470","-1,025","3,024","4,049","3,517","2,792",725
Lycoming County,Pennsylvania,Annual ,-46,-255,"1,061","1,316",209,261,-52
McKean County,Pennsylvania,Annual ,-44,-200,339,539,156,50,106
Mercer County,Pennsylvania,Annual ,-379,-550,940,"1,490",182,43,139
Mifflin County,Pennsylvania,Annual ,-15,-95,508,603,82,19,63
Monroe County,Pennsylvania,Annual ,-58,-372,"1,355","1,727",323,398,-75
Montgomery County,Pennsylvania,Annual ,"7,517",564,"8,330","7,766","6,959","5,822","1,137"
Montour County,Pennsylvania,Annual ,62,0,216,216,62,141,-79
Northampton County,Pennsylvania,Annual ,"2,145",-455,"2,674","3,129","2,604","1,727",877
Northumberland County,Pennsylvania,Annual ,-104,-368,771,"1,139",268,117,151
Perry County,Pennsylvania,Annual ,449,27,452,425,425,152,273
Philadelphia County,Pennsylvania,Annual ,"10,567","4,645","18,751","14,106","5,989","21,321","-15,332"
Pike County,Pennsylvania,Annual ,880,-173,463,636,"1,058",224,834
Potter County,Pennsylvania,Annual ,-47,-81,143,224,34,3,31
Schuylkill County,Pennsylvania,Annual ,591,-670,"1,196","1,866","1,278",305,973
Snyder County,Pennsylvania,Annual ,-72,-37,355,392,-35,53,-88
Somerset County,Pennsylvania,Annual ,-99,-404,581,985,311,22,289
Sullivan County,Pennsylvania,Annual ,2,-48,32,80,49,14,35
Susquehanna County,Pennsylvania,Annual ,-8,-145,375,520,140,37,103
Tioga County,Pennsylvania,Annual ,-49,-132,384,516,85,12,73
Union County,Pennsylvania,Annual ,-78,-31,352,383,-50,148,-198
Venango County,Pennsylvania,Annual ,40,-291,419,710,336,49,287
Warren County,Pennsylvania,Annual ,-299,-233,343,576,-66,36,-102
Washington County,Pennsylvania,Annual ,90,-864,"1,804","2,668",954,347,607
Wayne County,Pennsylvania,Annual ,15,-279,407,686,300,24,276
Westmoreland County,Pennsylvania,Annual ,-485,"-1,740","2,877","4,617","1,280",353,927
Wyoming County,Pennsylvania,Annual ,-97,-159,206,365,64,36,28
York County,Pennsylvania,Annual ,"5,263",481,"4,823","4,342","4,804","2,093","2,711"
Bristol County,Rhode Island,Annual ,-213,-207,343,550,-4,36,-40
Kent County,Rhode Island,Annual ,680,-456,"1,419","1,875","1,128",531,597
Newport County,Rhode Island,Annual ,-375,-258,600,858,-115,305,-420
Providence County,Rhode Island,Annual ,"8,693","1,019","6,719","5,700","7,657","8,219",-562
Washington County,Rhode Island,Annual ,94,-460,843,"1,303",554,434,120
Abbeville County,South Carolina,Annual ,44,-136,216,352,178,21,157
Aiken County,South Carolina,Annual ,"2,211",252,"2,426","2,174","1,953",352,"1,601"
Allendale County,South Carolina,Annual ,-45,-41,75,116,-3,12,-15
Anderson County,South Carolina,Annual ,"3,185",-158,"2,356","2,514","3,339",427,"2,912"
Bamberg County,South Carolina,Annual ,-121,-109,120,229,-9,56,-65
Barnwell County,South Carolina,Annual ,47,-59,247,306,106,55,51
Beaufort County,South Carolina,Annual ,"2,814",-214,"1,866","2,080","3,017",969,"2,048"
Berkeley County,South Carolina,Annual ,"8,153",988,"3,035","2,047","7,150","1,213","5,937"
Calhoun County,South Carolina,Annual ,41,-71,131,202,113,0,113
Charleston County,South Carolina,Annual ,"5,196","1,218","4,965","3,747","3,995","2,748","1,247"
Cherokee County,South Carolina,Annual ,827,-151,605,756,976,160,816
Chester County,South Carolina,Annual ,160,-232,326,558,392,14,378
Chesterfield County,South Carolina,Annual ,368,-59,516,575,429,222,207
Clarendon County,South Carolina,Annual ,-89,-226,286,512,136,56,80
Colleton County,South Carolina,Annual ,219,-214,405,619,434,184,250
Darlington County,South Carolina,Annual ,57,-263,727,990,320,51,269
Dillon County,South Carolina,Annual ,-135,-105,346,451,-31,36,-67
Dorchester County,South Carolina,Annual ,"4,893",623,"2,043","1,420","4,256",486,"3,770"
Edgefield County,South Carolina,Annual ,826,-98,238,336,927,270,657
Fairfield County,South Carolina,Annual ,-23,-164,172,336,145,-4,149
Florence County,South Carolina,Annual ,595,-264,"1,555","1,819",852,325,527
Georgetown County,South Carolina,Annual ,223,-592,473,"1,065",814,119,695
Greenville County,South Carolina,Annual ,"11,049","1,211","6,385","5,174","9,783","3,872","5,911"
Greenwood County,South Carolina,Annual ,459,-164,722,886,615,124,491
Hampton County,South Carolina,Annual ,5,-34,202,236,38,50,-12
Horry County,South Carolina,Annual ,"15,017","-1,409","3,286","4,695","16,311","1,746","14,565"
Jasper County,South Carolina,Annual ,"1,976",-50,404,454,"2,002",273,"1,729"
Kershaw County,South Carolina,Annual ,"1,553",-26,788,814,"1,589",89,"1,500"
Lancaster County,South Carolina,Annual ,"2,856",36,"1,223","1,187","2,812",764,"2,048"
Laurens County,South Carolina,Annual ,"1,335",-231,727,958,"1,569",154,"1,415"
Lee County,South Carolina,Annual ,31,-75,169,244,107,125,-18
Lexington County,South Carolina,Annual ,"3,897",193,"3,318","3,125","3,713","1,280","2,433"
McCormick County,South Carolina,Annual ,197,-94,64,158,288,0,288
Marion County,South Carolina,Annual ,-154,-233,286,519,77,2,75
Marlboro County,South Carolina,Annual ,-274,-176,261,437,-96,14,-110
Newberry County,South Carolina,Annual ,287,-119,418,537,407,179,228
Oconee County,South Carolina,Annual ,948,-408,714,"1,122","1,349",348,"1,001"
Orangeburg County,South Carolina,Annual ,-19,-390,839,"1,229",368,203,165
