City,County,Location.State,Location.Country,Data.Shape,Data.Encounter.duration,Data.Description.excerpt,Location.Coordinates.Latitude,Location.Coordinates.Longitude,Dates.Sighted.Year,Dates.Sighted.Month,Date.Sighted.Day,Dates.Sighted.Hour,Dates.Sighted.Minute,Dates.Documented.Year,Dates.Documented.Month,Dates.Documented.Day,lat,lon,sighted_date,year,Avg_Precip_Month_County,Avg_Temp_Month_County,sighting_type,population,data_source
BURBANK,LOS ANGELES,CA,US,triangle,600,V-shaped craft with 4-bright lights on it&#39s front tow sides&#44 traveled over the 101 Freeway in Los Angeles&#44 CA.,34.1808333,-118.3080556,2004,2,5,19,30,2004,2,12,34.1808333,-118.3080556,2004-02-05,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
SUN CITY,RIVERSIDE,CA,US,sphere,150,Menifee&#44 Ca:  4 Spheres seen by 3 people,33.7091667,-117.1963889,2004,2,5,11,30,2004,2,12,33.7091667,-117.1963889,2004-02-05,2004,2.71,52.1,UFO,2418185,2020 Decennial Census
SOLVANG,SANTA BARBARA,CA,US,cigar,300,Low &quot;hum&quot;&#44 white lights change to red and appear to almost merge at one point...cigar-like shape.,34.5958333,-120.1366667,2004,2,6,18,36,2004,2,12,34.5958333,-120.1366667,2004-02-06,2004,6.55,48.5,UFO,448229,2020 Decennial Census
ARTESIA,LOS ANGELES,CA,US,light,900,A BRIGHT RED LIGHT HOVERD AND SUDENLY   STREAKED UPWARD AND AWAY .,33.8658333,-118.0822222,2004,2,7,22,45,2004,3,17,33.8658333,-118.0822222,2004-02-07,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
LONE PINE,INYO,CA,US,unknown,108000,UFO Battle,36.6061111,-118.0619444,2004,2,7,2,0,2004,3,1,36.6061111,-118.0619444,2004-02-07,2004,2.27,42.2,UFO,19016,2020 Decennial Census
RIVERSIDE,RIVERSIDE,CA,US,light,45,Bright white light moving west to east&#44 faster than commercial jet,33.9533333,-117.3952778,2004,2,7,18,5,2004,2,12,33.9533333,-117.3952778,2004-02-07,2004,2.71,52.1,UFO,2418185,2020 Decennial Census
HAYWARD,ALAMEDA,CA,US,circle,2700,Clear blue day with three lights in the sky while being at the park.,37.6688889,-122.0797222,2004,2,8,11,34,2004,2,12,37.6688889,-122.0797222,2004-02-08,2004,7.25,48.3,UFO,1682353,2020 Decennial Census
SAN JOSE,SANTA CLARA,CA,US,light,55,object in the shape of a round bright light,37.3394444,-121.8938889,2004,2,8,18,37,2004,2,12,37.3394444,-121.8938889,2004-02-08,2004,8.65,47.5,UFO,1936259,2020 Decennial Census
ESCONDIDO,SAN DIEGO,CA,US,formation,300.13,6 horizontal lights appear to be large craft hovering over Leucadia California.,33.1191667,-117.0855556,2004,2,9,20,11,2004,3,17,33.1191667,-117.0855556,2004-02-09,2004,4.21,50.7,UFO,3298634,2020 Decennial Census
SAN BERNARDINO,SAN BERNARDINO,CA,US,other,60,SHAPE IN THE CLOUDS NO LITE OF OBJECT.,34.1083333,-117.2888889,2004,2,10,1,0,2008,3,4,34.1083333,-117.2888889,2004-02-10,2004,2.45,48.2,UFO,2181654,2020 Decennial Census
CATHEDRAL CITY,RIVERSIDE,CA,US,circle,150,bright round shape object traveling from south to north same area three times at diferen dates around the same hours.,33.7797222,-116.4644444,2004,2,11,6,45,2004,6,4,33.7797222,-116.4644444,2004-02-11,2004,2.71,52.1,UFO,2418185,2020 Decennial Census
FRESNO,FRESNO,CA,US,light,300,I saw a bright red light in the far distance that moved slightly&#44 faded in and out slightly&#44 and a piece broke off and fell.,36.7477778,-119.7713889,2004,2,11,0,0,2004,2,12,36.7477778,-119.7713889,2004-02-11,2004,6.08,40.7,UFO,1008654,2020 Decennial Census
IRVINE,ORANGE,CA,US,egg,120,An object that disappeared in the clear blue sky,33.6694444,-117.8222222,2004,2,11,10,15,2004,2,12,33.6694444,-117.8222222,2004-02-11,2004,4.93,55.3,UFO,3186989,2020 Decennial Census
YREKA,SISKIYOU,CA,US,other,15,observed ufo traveling south to north&#44 high altitude&#44 v-shape&#44 7 maybe 8 lights in a v shaped pattern,41.7355556,-122.6333333,2004,2,11,20,0,2004,3,2,41.7355556,-122.6333333,2004-02-11,2004,13.66,35.3,UFO,44076,2020 Decennial Census
COMMERCE,LOS ANGELES,CA,US,light,900,star like object race across the sky,34.0005556,-118.1588889,2004,2,12,13,35,2004,3,2,34.0005556,-118.1588889,2004-02-12,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
RODEO,CONTRA COSTA,CA,US,circle,90,I WAS SIITING AT HOME LOOKING AT THE LINDA VESTER NEWS ON FOX NEWS CH..WHEN IT APPEARED IN THE BACK GROUND OF THE SHOW.PLEASE TAKE LOOK,38.0330556,-122.2658333,2004,2,12,10,54,2004,7,8,38.0330556,-122.2658333,2004-02-12,2004,7.73,48.2,UFO,1165927,2020 Decennial Census
SAN CARLOS,SAN MATEO,CA,US,triangle,3600,Red Triangles Near San Francisco Bay Area Northern Sky,37.5072222,-122.2594444,2004,2,14,23,0,2004,3,2,37.5072222,-122.2594444,2004-02-14,2004,11.02,49.5,UFO,764442,2020 Decennial Census
NOVATO,MARIN,CA,US,other,600,High Velocity&#44 Lighted with mutlicoloured arrangement&#44 suacerlike object,38.1075,-122.5686111,2004,2,15,1,0,2004,3,17,38.1075,-122.5686111,2004-02-15,2004,13.84,49.2,UFO,262321,2020 Decennial Census
MORONGO VALLEY,SAN BERNARDINO,CA,US,fireball,30,Fireball&#44 then lights or flame went out and there was 3 red dots&#44 with blue lights in middle.,34.0469444,-116.58,2004,2,16,19,30,2004,3,2,34.0469444,-116.58,2004-02-16,2004,2.45,48.2,UFO,2181654,2020 Decennial Census
BELLFLOWER,LOS ANGELES,CA,US,fireball,1200,LARGE FIREBALL FALLING  FROM SKY,33.8816667,-118.1161111,2004,2,19,1,21,2004,3,2,33.8816667,-118.1161111,2004-02-19,2004,5.57,49.1,UFO,10014009,2020 Decennial Census
STUDIO CITY,NA,CA,US,triangle,300,A triangular shaped object flies near the freeway and hovers,34.1486111,-118.3955556,2004,2,28,20,30,2004,3,2,34.1486111,-118.3955556,2004-02-28,2004,NA,NA,UFO,NA,NA
LIVERMORE,ALAMEDA,CA,US,light,300,The  bright  light stayed there for 5 minites than took off extermly  fast and vanished.,37.6819444,-121.7669444,2004,2,29,21,30,2004,4,27,37.6819444,-121.7669444,2004-02-29,2004,7.25,48.3,UFO,1682353,2020 Decennial Census
ANAHEIM,ORANGE,CA,US,changing,420,A coworker and I noticed a black roundish object that appeared to be hovering above the Disneyland hotel.,33.8352778,-117.9136111,2004,3,1,10,50,2004,3,9,33.8352778,-117.9136111,2004-03-01,2004,5.66,57.8,UFO,3186989,2020 Decennial Census
AVALON,LOS ANGELES,CA,US,oval,300,Round&#44 tall craft over Catalina Island&#44 two teardrop black crafts inter-weaving with another at low altitude,33.3427778,-118.3269444,2004,3,1,19,0,2004,6,4,33.3427778,-118.3269444,2004-03-01,2004,6.35,53,UFO,10014009,2020 Decennial Census
LA MIRADA,LOS ANGELES,CA,US,flash,1200,Red bright flashing light that hovered moving slowly east and west a couple of times throughout its 20 minute showing.,33.9172222,-118.0111111,2004,3,2,23,0,2004,3,9,33.9172222,-118.0111111,2004-03-02,2004,6.35,53,UFO,10014009,2020 Decennial Census
PASADENA,LOS ANGELES,CA,US,egg,300,Small ovid object observed coming in from the San Gabriel mountains and hovering over Pasadena,34.1477778,-118.1436111,2004,3,2,12,35,2004,3,9,34.1477778,-118.1436111,2004-03-02,2004,6.35,53,UFO,10014009,2020 Decennial Census
SAN JOSE,SANTA CLARA,CA,US,disk,10,Weird buzzing&#44 and I black out&#33,37.3394444,-121.8938889,2004,3,2,1,0,2004,3,9,37.3394444,-121.8938889,2004-03-02,2004,9.44,50.8,UFO,1936259,2020 Decennial Census
HEALDSBURG,SONOMA,CA,US,other,1,At 9:47 p.m.m PST&#44 I was walking close to due north on Healdsburg Ave&#44 Healdsburg&#44 CA. I saw a very bright white object (about 10 degre,38.6105556,-122.8680556,2004,3,3,21,47,2004,3,9,38.6105556,-122.8680556,2004-03-03,2004,19.67,51.1,UFO,488863,2020 Decennial Census
HAYWARD,ALAMEDA,CA,US,sphere,5,blue light in hayward&#44 califma,37.6688889,-122.0797222,2004,3,4,2,0,2004,3,9,37.6688889,-122.0797222,2004-03-04,2004,7.89,51.8,UFO,1682353,2020 Decennial Census
SAN FRANCISCO,SAN FRANCISCO,CA,US,fireball,3,Green fireball over San Francisco,37.775,-122.4183333,2004,3,4,20,42,2004,3,23,37.775,-122.4183333,2004-03-04,2004,10.9,53.3,UFO,873965,2020 Decennial Census
CERES,STANISLAUS,CA,US,other,60,I saw a Huey heliocopter  trailing a very large non light emiiting object at night at low elevation and low speed.,37.595,-120.9566667,2004,3,5,20,45,2004,7,8,37.595,-120.9566667,2004-03-05,2004,5.41,51.7,UFO,552878,2020 Decennial Census
