"Year","FIPS","State","County","YPLL_Rate","CI_Low","CI_High"
2013,"06031","California","Kings",6372.2,5952.054,6792.346
2013,"06033","California","Lake",9804.3,8926.612,10681.988
2013,"06035","California","Lassen",6849.01,5932.436,7765.584
2013,"06037","California","Los Angeles",5463.8,5413.252,5514.348
2013,"06039","California","Madera",6693.97,6239.172,7148.768
2013,"06041","California","Marin",3781.84,3491.564,4072.116
2013,"06043","California","Mariposa",7309.04,5777.633,8840.447
2013,"06045","California","Mendocino",7974.89,7290.34,8659.44
2013,"06047","California","Merced",6726.27,6378.292,7074.248
2013,"06049","California","Modoc",9030.27,6721.821,11338.719
2013,"06051","California","Mono",3891.45,3060.872,4877.966
2013,"06053","California","Monterey",5215.88,4971.703,5460.057
2013,"06055","California","Napa",5308.86,4859.295,5758.425
2013,"06057","California","Nevada",5603.85,5006.56,6201.14
2013,"06059","California","Orange",4395.91,4312.767,4479.053
2013,"06061","California","Placer",4802.13,4540.509,5063.751
2013,"06063","California","Plumas",7082.1,5694.479,8469.721
2013,"06065","California","Riverside",5959.58,5847.429,6071.731
2013,"06067","California","Sacramento",6446.86,6304.388,6589.332
2013,"06069","California","San Benito",4954.91,4311.501,5598.319
2013,"06071","California","San Bernardino",6760.31,6638.378,6882.242
2013,"06073","California","San Diego",5143.2,5055.843,5230.557
2013,"06075","California","San Francisco",5244.13,5064.476,5423.784
2013,"06077","California","San Joaquin",7087.94,6871.83,7304.05
2013,"06079","California","San Luis Obispo",5229.32,4912.486,5546.154
2013,"06081","California","San Mateo",4134.59,3970.871,4298.309
2013,"06083","California","Santa Barbara",5244.52,4997.266,5491.774
2013,"06085","California","Santa Clara",3987.94,3888.254,4087.626
2013,"06087","California","Santa Cruz",5108.59,4807.142,5410.038
2013,"06089","California","Shasta",8357.93,7878.338,8837.522
2013,"06091","California","Sierra",7607.19,5746.39,9878.569
2013,"06093","California","Siskiyou",8516.27,7471.825,9560.715
2013,"06095","California","Solano",6388.89,6118.234,6659.546
2013,"06097","California","Sonoma",5232.86,5003.364,5462.356
2013,"06099","California","Stanislaus",6810.27,6567.23,7053.31
2013,"06101","California","Sutter",6861.57,6284.252,7438.888
2013,"06103","California","Tehama",7901.57,7103.928,8699.212
2013,"06105","California","Trinity",8555.3,6604.355,10506.245
2013,"06107","California","Tulare",7367.24,7091.154,7643.326
2013,"06109","California","Tuolumne",6682.26,5873.231,7491.289
2013,"06111","California","Ventura",5058.25,4884.28,5232.22
2013,"06113","California","Yolo",4890.75,4559.941,5221.559
2013,"06115","California","Yuba",7939.85,7259.593,8620.107
2014,"06001","California","Alameda",5141.3,5015.86,5266.74
2014,"06005","California","Amador",7504.4,6461.896,8546.904
2014,"06007","California","Butte",7944.16,7520.918,8367.402
2014,"06009","California","Calaveras",6937.97,5958.205,7917.735
2014,"06011","California","Colusa",5945.11,4805.154,7085.066
2014,"06013","California","Contra Costa",5257.38,5100.09,5414.67
2014,"06015","California","Del Norte",9670.61,8346.61,10994.61
2014,"06017","California","El Dorado",5169.84,4773.371,5566.309
2014,"06019","California","Fresno",7009.64,6823.714,7195.566
2014,"06021","California","Glenn",6818.69,5768.522,7868.858
2014,"06023","California","Humboldt",8292.81,7748.087,8837.533
2014,"06025","California","Imperial",5671.83,5285.142,6058.518
2014,"06027","California","Inyo",7069.9,5679.045,8460.755
2014,"06029","California","Kern",7630.65,7430.044,7831.256
2014,"06031","California","Kings",6372.2,5952.054,6792.346
2014,"06033","California","Lake",9804.3,8926.612,10681.988
2014,"06035","California","Lassen",6849.01,5932.436,7765.584
2014,"06037","California","Los Angeles",5463.8,5413.252,5514.348
2014,"06039","California","Madera",6693.97,6239.172,7148.768
2014,"06041","California","Marin",3781.84,3491.564,4072.116
2014,"06043","California","Mariposa",7309.04,5777.633,8840.447
2014,"06045","California","Mendocino",7974.89,7290.34,8659.44
2014,"06047","California","Merced",6726.27,6378.292,7074.248
2014,"06049","California","Modoc",9030.27,6721.821,11338.719
2014,"06051","California","Mono",3891.45,3060.872,4877.966
2014,"06053","California","Monterey",5215.88,4971.703,5460.057
2014,"06055","California","Napa",5308.86,4859.295,5758.425
2014,"06057","California","Nevada",5603.85,5006.56,6201.14
2014,"06059","California","Orange",4395.91,4312.767,4479.053
2014,"06061","California","Placer",4802.13,4540.509,5063.751
2014,"06063","California","Plumas",7082.1,5694.479,8469.721
2014,"06065","California","Riverside",5959.58,5847.429,6071.731
2014,"06067","California","Sacramento",6446.86,6304.388,6589.332
2014,"06069","California","San Benito",4954.91,4311.501,5598.319
2014,"06071","California","San Bernardino",6760.31,6638.378,6882.242
2014,"06073","California","San Diego",5143.2,5055.843,5230.557
2014,"06075","California","San Francisco",5244.13,5064.476,5423.784
2014,"06077","California","San Joaquin",7087.94,6871.83,7304.05
2014,"06079","California","San Luis Obispo",5229.32,4912.486,5546.154
2014,"06081","California","San Mateo",4134.59,3970.871,4298.309
2014,"06083","California","Santa Barbara",5244.52,4997.266,5491.774
2014,"06085","California","Santa Clara",3987.94,3888.254,4087.626
2014,"06087","California","Santa Cruz",5108.59,4807.142,5410.038
2014,"06089","California","Shasta",8357.93,7878.338,8837.522
2014,"06091","California","Sierra",7607.19,5746.39,9878.569
2014,"06093","California","Siskiyou",8516.27,7471.825,9560.715
2014,"06095","California","Solano",6388.89,6118.234,6659.546
2014,"06097","California","Sonoma",5232.86,5003.364,5462.356
2014,"06099","California","Stanislaus",6810.27,6567.23,7053.31
2014,"06101","California","Sutter",6861.57,6284.252,7438.888
2014,"06103","California","Tehama",7901.57,7103.928,8699.212
2014,"06105","California","Trinity",8555.3,6604.355,10506.245
2014,"06107","California","Tulare",7367.24,7091.154,7643.326
2014,"06109","California","Tuolumne",6682.26,5873.231,7491.289
2014,"06111","California","Ventura",5058.25,4884.28,5232.22
2014,"06113","California","Yolo",4890.75,4559.941,5221.559
2014,"06115","California","Yuba",7939.85,7259.593,8620.107
2015,"06001","California","Alameda",4886.73,4766.288,5007.172
2015,"06005","California","Amador",6601.66,5628.54,7574.78
2015,"06007","California","Butte",7649.95,7229.334,8070.566
2015,"06009","California","Calaveras",7101.19,6076.894,8125.486
2015,"06011","California","Colusa",5942.57,4799.576,7085.564
2015,"06013","California","Contra Costa",5040.11,4885.917,5194.303
2015,"06015","California","Del Norte",9082.35,7832.654,10332.046
2015,"06017","California","El Dorado",5096.16,4709.903,5482.417
2015,"06019","California","Fresno",6784.17,6602.204,6966.136
2015,"06021","California","Glenn",6947.15,5861.192,8033.108
2015,"06023","California","Humboldt",8140.31,7589.962,8690.658
2015,"06025","California","Imperial",5337.91,4976.349,5699.471
2015,"06027","California","Inyo",5835.7,4675.556,6995.844
2015,"06029","California","Kern",7312.58,7117.599,7507.561
2015,"06031","California","Kings",6324.27,5902.772,6745.768
2015,"06033","California","Lake",10269.47,9353.582,11185.358
2015,"06035","California","Lassen",6820.78,5840.662,7800.898
2015,"06037","California","Los Angeles",5066.17,5018.13,5114.21
2015,"06039","California","Madera",6702.86,6247.513,7158.207
2015,"06041","California","Marin",3500.61,3225.073,3776.147
2015,"06043","California","Mariposa",7094.09,5487.517,8700.663
2015,"06045","California","Mendocino",7323,6670.144,7975.856
2015,"06047","California","Merced",6580.91,6244.104,6917.716
2015,"06049","California","Modoc",9307.35,6851.078,11763.622
2015,"06051","California","Mono",3448.89,2683.442,4364.791
2015,"06053","California","Monterey",4991.47,4755.878,5227.062
2015,"06055","California","Napa",4739.49,4328.85,5150.13
2015,"06057","California","Nevada",5871.83,5235.046,6508.614
2015,"06059","California","Orange",4179.3,4099.861,4258.739
2015,"06061","California","Placer",4922.1,4653.227,5190.973
2015,"06063","California","Plumas",8246.13,6564.901,9927.359
2015,"06065","California","Riverside",5626.57,5519.24,5733.9
2015,"06067","California","Sacramento",6353.17,6212.481,6493.859
2015,"06069","California","San Benito",4914.79,4246.626,5582.954
2015,"06071","California","San Bernardino",6379.19,6262.394,6495.986
2015,"06073","California","San Diego",4882.41,4798.679,4966.141
2015,"06075","California","San Francisco",5001.5,4828.118,5174.882
2015,"06077","California","San Joaquin",7018.37,6805.71,7231.03
2015,"06079","California","San Luis Obispo",5516.34,5179.867,5852.813
2015,"06081","California","San Mateo",3824.37,3668.824,3979.916
2015,"06083","California","Santa Barbara",4985.83,4749.748,5221.912
2015,"06085","California","Santa Clara",3756.61,3661.413,3851.807
2015,"06087","California","Santa Cruz",5065.51,4759.397,5371.623
2015,"06089","California","Shasta",8990.16,8474.856,9505.464
2015,"06091","California","Sierra",10259.86,7615.066,13526.346
2015,"06093","California","Siskiyou",8760.78,7669.158,9852.402
2015,"06095","California","Solano",6228.5,5961.274,6495.726
2015,"06097","California","Sonoma",4942.47,4721.264,5163.676
2015,"06099","California","Stanislaus",6876.21,6629.681,7122.739
2015,"06101","California","Sutter",6587.26,6028.738,7145.782
2015,"06103","California","Tehama",7413.9,6646.207,8181.593
2015,"06105","California","Trinity",9952.41,7845.626,12059.194
2015,"06107","California","Tulare",6960.71,6696.933,7224.487
2015,"06109","California","Tuolumne",6972.66,6095.305,7850.015
2015,"06111","California","Ventura",4729.52,4563.43,4895.61
2015,"06113","California","Yolo",4923.08,4590.919,5255.241
2015,"06115","California","Yuba",7557.53,6896.814,8218.246
2016,"06001","California","Alameda",4885.7,4766.1,5005.2
2016,"06005","California","Amador",5775.7,4845.1,6706.2
2016,"06007","California","Butte",7436.8,7019.2,7854.5
2016,"06009","California","Calaveras",7536.8,6445.3,8628.3
2016,"06011","California","Colusa",6254.6,5072.4,7436.8
2016,"06013","California","Contra Costa",4880.3,4729.5,5031.1
2016,"06015","California","Del Norte",8718.8,7496.4,9941.2
2016,"06017","California","El Dorado",5110.9,4720.6,5501.2
2016,"06019","California","Fresno",6902.6,6718.2,7087.1
2016,"06021","California","Glenn",7233.5,6084.4,8382.6
2016,"06023","California","Humboldt",8433.9,7874.6,8993.1
2016,"06025","California","Imperial",5244.5,4890.1,5598.9
2016,"06027","California","Inyo",5560.3,4420.3,6700.4
2016,"06029","California","Kern",7492.2,7294.2,7690.2
2016,"06031","California","Kings",6348.7,5924.7,6772.6
2016,"06033","California","Lake",10644.8,9687.4,11602.3
2016,"06035","California","Lassen",6744.1,5788.2,7700
2016,"06037","California","Los Angeles",5009.3,4961.7,5056.9
2016,"06039","California","Madera",6855.2,6389.5,7321
2016,"06041","California","Marin",3621.6,3332,3911.1
2016,"06043","California","Mariposa",7495.3,5805.4,9185.1
2016,"06045","California","Mendocino",7596.3,6906,8286.6
2016,"06047","California","Merced",6723.5,6383.7,7063.4
2016,"06049","California","Modoc",10229.1,7545.1,12913.2
2016,"06051","California","Mono",3724.6,2939.4,4655.1
2016,"06053","California","Monterey",5044.2,4808.6,5279.9
2016,"06055","California","Napa",4729.2,4323.4,5134.9
2016,"06057","California","Nevada",6140,5480.2,6799.7
2016,"06059","California","Orange",4153.2,4074.5,4231.9
2016,"06061","California","Placer",4923.8,4655.2,5192.3
2016,"06063","California","Plumas",8755.7,6938.3,10573
2016,"06065","California","Riverside",5589.4,5483.1,5695.8
2016,"06067","California","Sacramento",6292.8,6153.4,6432.1
2016,"06069","California","San Benito",5053.8,4396.1,5711.6
2016,"06071","California","San Bernardino",6445.1,6327.6,6562.5
2016,"06073","California","San Diego",4871.3,4788.2,4954.3
2016,"06075","California","San Francisco",4930.1,4758.5,5101.6
2016,"06077","California","San Joaquin",6986.4,6774.6,7198.2
2016,"06079","California","San Luis Obispo",5411.1,5077,5745.2
2016,"06081","California","San Mateo",3676.1,3525.6,3826.6
2016,"06083","California","Santa Barbara",4806.6,4578.6,5034.7
2016,"06085","California","Santa Clara",3721.1,3625.4,3816.8
2016,"06087","California","Santa Cruz",5148.6,4838.7,5458.6
2016,"06089","California","Shasta",8959.7,8446.1,9473.2
2016,"06093","California","Siskiyou",9151.9,8024.7,10279.2
2016,"06095","California","Solano",6195.5,5927.8,6463.1
2016,"06097","California","Sonoma",4736.8,4524,4949.6
2016,"06099","California","Stanislaus",7103.8,6853.2,7354.4
2016,"06101","California","Sutter",6480.7,5926.6,7034.7
2016,"06103","California","Tehama",7547.7,6781.7,8313.7
2016,"06105","California","Trinity",10280.4,8181.9,12378.9
2016,"06107","California","Tulare",6949.5,6686.7,7212.3
2016,"06109","California","Tuolumne",6589.3,5764.5,7414.2
2016,"06111","California","Ventura",4776.5,4609.1,4943.8
2016,"06113","California","Yolo",5087.6,4747.4,5427.8
2016,"06115","California","Yuba",7894.4,7209,8579.8
2017,"06001","California","Alameda",4767.5,4649.8,4885.3
2017,"06005","California","Amador",6117.9,5154.3,7081.6
2017,"06007","California","Butte",7438,7020.3,7855.6
2017,"06009","California","Calaveras",7209.5,6136.2,8282.9
2017,"06011","California","Colusa",5432.4,4340.8,6524
2017,"06013","California","Contra Costa",4712.1,4566.3,4857.9
2017,"06015","California","Del Norte",8297.8,7087.9,9507.7
2017,"06017","California","El Dorado",5220.8,4823,5618.5
2017,"06019","California","Fresno",6895.5,6711.6,7079.5
2017,"06021","California","Glenn",6667.4,5624.2,7710.5
2017,"06023","California","Humboldt",8768.6,8192.6,9344.6
2017,"06025","California","Imperial",5550.5,5184.7,5916.3
2017,"06027","California","Inyo",6743,5409.1,8076.9
2017,"06029","California","Kern",7474.9,7278.2,7671.6
2017,"06031","California","Kings",6280.3,5859.4,6701.1
2017,"06033","California","Lake",10636.6,9666.3,11606.8
2017,"06035","California","Lassen",6199.9,5318.4,7081.4
2017,"06037","California","Los Angeles",4943.4,4896.3,4990.5
2017,"06039","California","Madera",6855.4,6388.8,7322
2017,"06041","California","Marin",3625.3,3332.2,3918.4
2017,"06043","California","Mariposa",8131.5,6385.4,9877.5
2017,"06045","California","Mendocino",8048.9,7328.5,8769.3
2017,"06047","California","Merced",6664.3,6327.9,7000.7
2017,"06049","California","Modoc",11461.3,8564.5,14358
2017,"06051","California","Mono",3666.3,2898,4575.6
2017,"06053","California","Monterey",4955.1,4722.3,5187.8
2017,"06055","California","Napa",4437.9,4047.1,4828.7
2017,"06057","California","Nevada",6121.7,5480.7,6762.7
2017,"06059","California","Orange",4118.2,4040.2,4196.2
2017,"06061","California","Placer",4665.6,4408.7,4922.4
2017,"06063","California","Plumas",8975.7,7198.4,10753
2017,"06065","California","Riverside",5550.3,5444.6,5656
2017,"06067","California","Sacramento",6192.2,6054.1,6330.3
2017,"06069","California","San Benito",4905.5,4269.3,5541.7
2017,"06071","California","San Bernardino",6498.8,6380.7,6616.9
2017,"06073","California","San Diego",4745.8,4664.3,4827.3
2017,"06075","California","San Francisco",4730.6,4563.9,4897.2
2017,"06077","California","San Joaquin",6995.4,6784.2,7206.7
2017,"06079","California","San Luis Obispo",5449.1,5110,5788.3
2017,"06081","California","San Mateo",3537.7,3390.2,3685.2
2017,"06083","California","Santa Barbara",4881.6,4653.5,5109.7
2017,"06085","California","Santa Clara",3660.7,3566.7,3754.8
2017,"06087","California","Santa Cruz",5213.4,4899.2,5527.6
2017,"06089","California","Shasta",8514.8,8028.3,9001.3
2017,"06093","California","Siskiyou",8974.3,7897.4,10051.1
2017,"06095","California","Solano",6338.8,6066.5,6611.1
2017,"06097","California","Sonoma",4690.1,4479.5,4900.7
2017,"06099","California","Stanislaus",7078.3,6829.1,7327.5
2017,"06101","California","Sutter",6622.1,6052.7,7191.5
2017,"06103","California","Tehama",7473,6719.2,8226.8
2017,"06105","California","Trinity",10873.3,8592.5,13154.1
2017,"06107","California","Tulare",6922.3,6660,7184.5
2017,"06109","California","Tuolumne",6985.5,6114.6,7856.4
2017,"06111","California","Ventura",4612.3,4447,4777.7
2017,"06113","California","Yolo",5210.6,4864.9,5556.3
2017,"06115","California","Yuba",7914.2,7228.1,8600.3
2018,"06001","California","Alameda",4660.0793548,4544.1973663,4775.9613433
2018,"06005","California","Amador",6213.5108186,5182.722809,7244.2988282
2018,"06007","California","Butte",7285.5304554,6881.3338254,7689.7270855
2018,"06009","California","Calaveras",7306.2014148,6223.4800705,8388.9227592
2018,"06011","California","Colusa",5746.5299587,4615.5586341,6877.5012834
2018,"06013","California","Contra Costa",4702.7530912,4557.8493003,4847.6568821
2018,"06015","California","Del Norte",8127.8842668,6973.1910342,9282.5774995
2018,"06017","California","El Dorado",5119.9236959,4729.2240196,5510.6233721
2018,"06019","California","Fresno",6961.0063714,6776.3837504,7145.6289923
2018,"06021","California","Glenn",7335.7779208,6199.3236649,8472.2321767
2018,"06023","California","Humboldt",8952.8219231,8372.9554367,9532.6884096
2018,"06025","California","Imperial",5655.2385912,5284.0243374,6026.4528449
2018,"06027","California","Inyo",6345.4262708,5034.9185349,7655.9340068
2018,"06029","California","Kern",7592.548046,7395.1774509,7789.918641
2018,"06031","California","Kings",5966.7521692,5550.1707704,6383.3335679
2018,"06033","California","Lake",11667.0154,10652.670606,12681.360194
2018,"06035","California","Lassen",6416.0018743,5455.1374548,7376.8662939
2018,"06037","California","Los Angeles",4946.1516978,4898.9880031,4993.3153925
2018,"06039","California","Madera",6592.1142681,6137.637266,7046.5912702
2018,"06041","California","Marin",3447.6744813,3162.7162683,3732.6326942
